,id_orgao_julgador,sigla_tribunal,ramo_justica,nome_orgao,uf,id_municipio,ind1,ind2,ind3,taxa_entrada,taxa_saida,retorno,log_ind1,log_ind2,log_ind3,log_taxa_entrada,log_taxa_saida,log_retorno
11200,4631,TJMS,Justiça Estadual,NOVA ANDRADINA - JUIZADO ESPECIAL ADJUNTO CÍVEL,MS,2272,234,2974,235,0.07868190988567586,0.07901815736381977,1.0042735042735043,2.369215857410143,3.4733409641859354,2.3710678622717363,-1.1041251067757925,-1.1022731019141991,0.0018520048615934235
11201,4632,TJBA,Justiça Estadual,VARA DE JURISDIÇÃO PLENA - LENÇÓIS,BA,434,30,1840,91,0.016304347826086956,0.049456521739130434,3.033333333333333,1.4771212547196624,3.2648178230095364,1.9590413923210936,-1.787696568289874,-1.305776430688443,0.48192013760143115
11202,4633,TJBA,Justiça Estadual,VARA DE JURISDIÇÃO PLENA - QUEIMADAS,BA,519,41,5172,35,0.007927300850734726,0.006767208043310132,0.8536585365853658,1.6127838567197355,3.7136585162083566,1.5440680443502757,-2.100874659488621,-2.169590471858081,-0.06871581236945987
11203,4634,TJES,Justiça Estadual,3º JUIZADO ESPECIAL CÍVEL - CARIACICA,ES,839,139,843,137,0.16488730723606168,0.16251482799525505,0.9856115107913669,2.143014800254095,2.9258275746247424,2.1367205671564067,-0.7828127743706472,-0.7891070074683355,-0.006294233097688322
11204,4635,TJBA,Justiça Estadual,1VARA DO SISTEMA DOS JUIZADOS ESPECIAIS - SANTO ESTEVAO,BA,553,441,1802,681,0.24472807991120976,0.3779134295227525,1.5442176870748299,2.6444385894678386,3.255754786643044,2.833147111912785,-0.6113161971752057,-0.422607674730259,0.1887085224449466
11205,4636,TJES,Justiça Estadual,1º JUIZADO ESPECIAL CRIMINAL E DA FAZENDA PÚBLICA - CARIACICA,ES,839,48,770,48,0.06233766233766234,0.06233766233766234,1.0,1.6812412373755872,2.886490725172482,1.6812412373755872,-1.2052494877968947,-1.2052494877968947,0.0
11206,4637,TJES,Justiça Estadual,2º JUIZADO ESPECIAL CRIMINAL E DA FAZENDA PÚBLICA - CARIACICA,ES,839,46,969,177,0.047471620227038186,0.1826625386996904,3.847826086956522,1.662757831681574,2.9863237770507656,2.2479732663618064,-1.3235659453691913,-0.7383505106889587,0.5852154346802325
11207,4640,TJES,Justiça Estadual,1ª VARA CÍVEL - SERRA,ES,892,131,4338,82,0.030198248040571692,0.018902720147533424,0.6259541984732825,2.1172712956557644,3.6372895476781744,1.9138138523837167,-1.5200182520224101,-1.7234756952944577,-0.20345744327204754
11208,4641,TJES,Justiça Estadual,2ª VARA CÍVEL - SERRA,ES,892,108,4830,132,0.02236024844720497,0.02732919254658385,1.2222222222222223,2.03342375548695,3.683947130751512,2.12057393120585,-1.6505233752645625,-1.5633731995456623,0.0871501757189002
11209,4642,TJBA,Justiça Estadual,VARA JURISDIÇÃO PLENA - RETIROLANDIA,BA,524,48,4176,26,0.011494252873563218,0.006226053639846743,0.5416666666666666,1.6812412373755872,3.620760489994206,1.414973347970818,-1.9395192526186185,-2.2057871420233877,-0.26626788940476925
